Cultivar,Season,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,GY
SYN2282IPRO,2,4,64.6,17.73,69.93,143,2.03,3.8,204.89,3443.086207
82I78RSF IPRO,2,1,86.8,19,106.4,191.6,1.8,3.6,171.6,3308.798851
82I78RSF IPRO,2,2,87.2,19.4,92.8,201,2.17,5,172.59,3274.988506
82I78RSF IPRO,2,3,87.8,24.2,79.6,146,1.83,4.8,169.62,3267.310345
82I78RSF IPRO,2,4,87.27,20.87,92.93,179.53,1.93,4.47,162.59,3534.057471
M 8644 IPRO,2,1,63.6,12.2,32,80.8,2.53,3.2,159.15,3094.022989
M 8644 IPRO,2,2,60.8,11,43.2,104.2,2.41,3,164.86,3177.931034
M 8644 IPRO,2,3,61.4,9.2,34,85.4,2.51,2.8,163.72,3207.54023
M 8644 IPRO,2,4,61.93,10.8,36.4,90.13,2.48,3,157.93,3304.333333
MONSOY M8606I2X,2,1,78.2,8,81.4,249.8,3.07,4.8,150.53,3748.655172
MONSOY M8606I2X,2,2,63,7.2,109.4,440,4.02,4.4,150.82,3859.655172
MONSOY M8606I2X,2,3,67.2,8.6,102,209,2.05,4,153.97,3686.965517
MONSOY M8606I2X,2,4,69.47,7.93,97.6,299.6,3.05,4.4,154.1,3939.310345
NK 8770 IPRO,2,1,89.8,15.6,97.6,208,2.13,3.2,173.64,3221.810345
NK 8770 IPRO,2,2,87.6,15,55,104,1.89,2.2,175.92,3246.896552
NK 8770 IPRO,2,3,91.4,18.2,60.2,141.4,2.35,3.6,166.68,3150.862069
NK 8770 IPRO,2,4,89.6,16.27,70.93,151.13,2.12,3,160.81,3037.189655
FTR 4288 IPRO,2,1,82.6,16,84,147.2,1.75,3.6,146.98,3475.448276
FTR 4288 IPRO,2,2,87.6,15.8,79.2,151.8,1.92,3.8,139.22,3409.103448
FTR 4288 IPRO,2,3,94.8,17.2,64,118,1.84,3.6,135.65,3304.678161
FTR 4288 IPRO,2,4,88.33,16.33,75.73,139,1.84,3.67,135.19,3348.931034
FTR 3190 IPRO,2,1,64.4,16.6,76,168,2.21,3.6,145.69,3418.850575
FTR 3190 IPRO,2,2,64.6,17.6,116.8,271.2,2.32,3.8,147.24,3651.586207
FTR 3190 IPRO,2,3,58.8,14.8,86.4,180.6,2.09,2.2,156.32,3487.931034
FTR 3190 IPRO,2,4,62.6,16.33,93.07,206.6,2.21,3.2,157.61,3605.310345
